product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency
Prod001,Cus001,Mark001,2017-10-10,100,41241,INR
Prod013,Cus001,Mark001,2017-10-10,240,143560,INR
Prod001,Cus001,Mark001,2017-10-10,100,41241,"INR"
Prod013,Cus001,Mark001,2017-10-10,240,143560,"INR"
Prod016,Cus001,Mark001,2018-06-28,187,115481,"INR"
Prod020,Cus001,Mark001,2017-10-10,140,153019,"INR"
Prod020,Cus001,Mark001,2017-10-25,47,51005,"INR"
Prod020,Cus001,Mark001,2017-11-14,47,51005,"INR"
Prod040,Cus001,Mark001,2018-01-05,240,168245,"INR"
Prod040,Cus001,Mark001,2018-01-12,167,104648,"INR"
Prod040,Cus001,Mark001,2018-01-15,240,168245,"INR"
Prod040,Cus001,Mark001,2018-01-30,193,135532,"INR"
Prod040,Cus001,Mark001,2018-02-12,40,28042,"INR"
Prod040,Cus001,Mark001,2018-02-13,40,25116,"INR"
Prod040,Cus001,Mark001,2018-04-03,480,336495,"INR"
Prod040,Cus001,Mark001,2018-04-27,120,75347,"INR"
Prod040,Cus001,Mark001,2018-04-30,120,84125,"INR"
Prod040,Cus001,Mark001,2018-05-16,160,100463,"INR"
Prod040,Cus001,Mark001,2018-08-15,400,251162,"INR"
Prod040,Cus001,Mark001,2018-10-11,40,28042,"INR"
Prod040,Cus001,Mark001,2019-05-28,80,50231,"INR"
Prod040,Cus001,Mark001,2019-06-07,80,50231,"INR"
Prod040,Cus001,Mark001,2019-06-19,40,25116,"INR"
Prod040,Cus001,Mark001,2019-06-26,120,75347,"INR"
Prod040,Cus001,Mark001,2019-07-11,40,25116,"INR"
Prod040,Cus001,Mark001,2019-08-19,40,28042,"INR"
Prod040,Cus001,Mark001,2019-08-28,40,28042,"INR"
Prod040,Cus001,Mark001,2019-10-30,240,168250,"INR"
Prod040,Cus001,Mark001,2019-11-25,40,28042,"INR"
Prod040,Cus001,Mark001,2019-12-18,40,28042,"INR"
Prod040,Cus001,Mark001,2020-01-17,40,25116,"INR"
Prod040,Cus001,Mark001,2020-01-21,80,56083,"INR"
Prod040,Cus001,Mark001,2020-01-28,40,25116,"INR"
Prod040,Cus001,Mark001,2020-02-13,40,25116,"INR"
Prod040,Cus001,Mark001,2020-04-15,40,28042,"INR"
Prod040,Cus001,Mark001,2020-04-23,40,28042,"INR"
Prod040,Cus001,Mark001,2020-05-15,40,28042,"INR"
Prod040,Cus001,Mark001,2020-06-11,40,28042,"INR"
Prod040,Cus001,Mark001,2020-06-18,40,25116,"INR"
Prod044,Cus001,Mark001,2018-11-08,120,75347,"INR"
Prod044,Cus001,Mark001,2018-12-18,120,75347,"INR"
Prod044,Cus001,Mark001,2019-02-07,160,100463,"INR"
Prod061,Cus001,Mark001,2019-08-13,44,7884,"INR"
Prod061,Cus001,Mark001,2019-09-11,24,4301,"INR"
Prod061,Cus001,Mark001,2019-10-11,13,2389,"INR"
Prod061,Cus001,Mark001,2019-11-14,72,12903,"INR"
Prod061,Cus001,Mark001,2019-12-10,48,8602,"INR"
Prod061,Cus001,Mark001,2020-01-17,184,32972,"INR"
Prod061,Cus001,Mark001,2020-02-13,348,62366,"INR"
Prod061,Cus001,Mark001,2020-02-27,1,241,"INR"
Prod061,Cus001,Mark001,2020-05-15,88,15769,"INR"
Prod062,Cus001,Mark001,2018-04-18,165,29569,"INR"
Prod062,Cus001,Mark001,2018-11-30,114,20431,"INR"
Prod062,Cus001,Mark001,2018-12-06,36,6449,"INR"
Prod062,Cus001,Mark001,2018-12-18,78,13977,"INR"
Prod062,Cus001,Mark001,2019-01-30,52,9319,"INR"
Prod065,Cus001,Mark001,2019-10-10,1,125,"INR"
Prod065,Cus001,Mark001,2019-11-20,42,7810,"INR"
Prod065,Cus001,Mark001,2019-12-10,90,17898,"INR"
